epoch,r,l,invalid
1.0,0.44369037419646595,14.0,0.0
1.0,0.00013109539846794458,9.0,0.0
1.0,0.4071369783963939,11.0,0.0
1.0,0.10860053630784039,12.0,0.0
1.0,0.3604099718630952,19.0,0.0
1.0,0.4500568474440805,14.0,0.0
1.0,0.021630046505254876,18.0,0.0
1.0,0.40579775274682905,13.0,0.0
1.0,0.38882658107063794,19.0,0.0
1.0,0.18593870782076313,23.0,0.0
1.0,0.41847321282189875,11.0,0.0
1.0,0.014668150113183882,13.0,0.0
1.0,0.42327450611698647,13.0,0.0
1.0,0.007616989177918225,18.0,0.0
1.0,0.41900523214936986,17.0,0.0
1.0,0.14719807382548722,14.0,0.0
1.0,0.017049578727184662,9.0,0.0
1.0,0.00880485882421629,17.0,0.0
1.0,0.03330918368868109,10.0,0.0
1.0,0.3376793261931373,11.0,0.0
1.0,0.5424420098135992,17.0,0.0
1.0,0.47076278440997027,8.0,0.0
1.0,0.32710568662830786,16.0,0.0
1.0,0.509644321082138,13.0,0.0
1.0,0.012146110602975744,11.0,0.0
1.0,0.2878640191040286,10.0,0.0
1.0,0.0008010732466190641,9.0,0.0
1.0,0.4148591860761933,9.0,0.0
1.0,0.1280873782544833,8.0,0.0
1.0,0.25271438810281927,8.0,0.0
1.0,0.4239883888741738,12.0,0.0
1.0,0.05646117832081011,14.0,0.0
1.0,0.454471483792119,19.0,0.0
1.0,0.5280910367787043,16.0,0.0
1.0,0.4239614764135033,5.0,0.0
1.0,0.11001466383443054,9.0,0.0
1.0,0.4377880465671809,7.0,0.0
1.0,0.5032321650915508,8.0,0.0
1.0,0.4202180826086929,19.0,0.0
1.0,0.16632604421558275,18.0,0.0
1.0,0.10997898060442082,10.0,0.0
1.0,0.14444049947435186,6.0,0.0
1.0,0.2451936246158133,11.0,0.0
1.0,0.42892194763073704,9.0,0.0
1.0,0.0600044714300016,15.0,0.0
1.0,0.001954248650452055,14.0,0.0
1.0,0.387471148168041,11.0,0.0
1.0,0.5128564047072267,9.0,0.0
1.0,0.4199535052353859,10.0,0.0
1.0,0.39263214728130746,20.0,0.0
1.0,0.14692257022284094,13.0,0.0
1.0,0.4667437457066299,17.0,0.0
1.0,0.3824309406504632,15.0,0.0
1.0,0.2848260769127139,15.0,0.0
1.0,0.0010345415526148442,15.0,0.0
1.0,0.16145783769246863,9.0,0.0
1.0,0.3550485407210223,18.0,0.0
1.0,0.08208864258664839,7.0,0.0
1.0,0.4795580744098687,7.0,0.0
1.0,0.16457384128634533,18.0,0.0
1.0,0.42378216448821493,17.0,0.0
1.0,0.40836407527846463,16.0,0.0
1.0,0.4601457063889099,10.0,0.0
1.0,0.16876653589832566,18.0,0.0
1.0,0.0823308492657246,13.0,0.0
1.0,0.45625784390685253,17.0,0.0
1.0,0.07267859096555127,11.0,0.0
1.0,0.014756022707434653,10.0,0.0
1.0,0.41529853007677126,12.0,0.0
1.0,0.09678589608253729,17.0,0.0
1.0,0.38640807881226047,7.0,0.0
1.0,0.4317825798238341,7.0,0.0
1.0,0.3978447566920435,10.0,0.0
1.0,0.4312759628679363,13.0,0.0
1.0,0.10218305223807833,19.0,0.0
1.0,0.42018749278442025,11.0,0.0
1.0,0.45621264444023185,13.0,0.0
1.0,0.0412959089295672,12.0,0.0
1.0,0.25947269955660346,20.0,0.0
1.0,0.42471698354515697,11.0,0.0
1.0,0.1285480160693538,19.0,0.0
1.0,0.26259578322430843,17.0,0.0
1.0,0.42410653500169326,10.0,0.0
1.0,0.4102797055720689,16.0,0.0
1.0,0.0761832598057753,10.0,0.0
1.0,0.40925811564188297,14.0,0.0
1.0,0.04394904910678257,7.0,0.0
1.0,0.3529547929626589,16.0,0.0
1.0,0.5135536132679892,9.0,0.0
1.0,0.019082688635579173,9.0,0.0
1.0,0.05735257975990379,9.0,0.0
1.0,0.12225898595246651,9.0,0.0
1.0,0.14237587767825347,13.0,0.0
1.0,0.41204031598960905,16.0,0.0
1.0,0.27088662363988514,7.0,0.0
1.0,0.42311441256308063,12.0,0.0
1.0,0.05326938010912212,13.0,0.0
1.0,0.4390294615732534,15.0,0.0
1.0,0.4212567147542958,12.0,0.0
1.0,0.004125419329973503,17.0,0.0
1.0,0.07450834663157357,18.0,0.0
1.0,0.2535177768261572,19.0,0.0
1.0,0.16807484069183856,10.0,0.0
1.0,0.37888217422440396,19.0,0.0
1.0,0.06150962889735087,17.0,0.0
1.0,0.009748508154223907,18.0,0.0
1.0,0.42121141795012623,13.0,0.0
1.0,0.5011663297012982,6.0,0.0
1.0,0.06723058479747965,16.0,0.0
1.0,0.42733217159907805,18.0,0.0
1.0,0.0052728297185615025,15.0,0.0
1.0,0.42504780695617495,16.0,0.0
1.0,0.003772495841595392,18.0,0.0
1.0,0.2985271341473242,20.0,0.0
1.0,0.44653712974601223,18.0,0.0
1.0,0.014761139523989148,15.0,0.0
1.0,0.1240119433758927,9.0,0.0
1.0,0.2920348371462351,17.0,0.0
1.0,0.41685646728556197,9.0,0.0
1.0,0.00433824164370626,19.0,0.0
1.0,0.051148172364779615,14.0,0.0
1.0,0.01022421049376815,11.0,0.0
1.0,0.12878079334709122,11.0,0.0
1.0,0.4700543331412184,14.0,0.0
1.0,0.3794302555545835,8.0,0.0
1.0,0.0874276266947713,6.0,0.0
1.0,0.0,12.0,1.0
1.0,0.4985842913171976,7.0,0.0
1.0,0.2595026564134335,6.0,0.0
1.0,0.0,10.0,1.0
1.0,0.46056180188570744,15.0,0.0
1.0,0.14203725792033367,13.0,0.0
1.0,0.4256889041973401,9.0,0.0
1.0,0.2777140653262517,10.0,0.0
1.0,0.08614828493517737,9.0,0.0
1.0,0.3414125617843956,14.0,0.0
1.0,0.01737909244165875,10.0,0.0
1.0,0.0053301795032952804,12.0,0.0
1.0,0.07489463443738617,13.0,0.0
1.0,0.0044632706163150555,17.0,0.0
1.0,0.41038368576853435,6.0,0.0
1.0,0.4109484765377147,17.0,0.0
1.0,0.4162431996907399,12.0,0.0
1.0,0.4405086265317101,16.0,0.0
1.0,0.34449992795067025,10.0,0.0
1.0,0.4211910203142054,8.0,0.0
1.0,0.38752713330685995,19.0,0.0
1.0,0.12113970397358376,7.0,0.0
1.0,0.4186362271552641,8.0,0.0
1.0,0.04667419214994786,5.0,0.0
1.0,0.2662226894743213,6.0,0.0
1.0,0.40586961917360087,13.0,0.0
1.0,0.07035723060846978,19.0,0.0
1.0,0.0032350994797758336,13.0,0.0
1.0,0.41508160717157894,17.0,0.0
1.0,0.4172005435776001,18.0,0.0
1.0,0.11172834280481289,11.0,0.0
1.0,0.3846456885916174,17.0,0.0
1.0,0.44239401038899284,14.0,0.0
1.0,0.3186500484988734,18.0,0.0
1.0,0.2256141704813349,22.0,0.0
1.0,0.09858725156733306,22.0,0.0
1.0,0.419979973911453,20.0,0.0
1.0,0.46629315368106505,8.0,0.0
1.0,0.4601282784963304,18.0,0.0
1.0,0.4150817547657955,13.0,0.0
1.0,0.2893803922490408,24.0,0.0
1.0,0.4240041858386274,13.0,0.0
1.0,0.0,17.0,1.0
1.0,0.01862838547931511,17.0,0.0
1.0,0.31395012085944535,10.0,0.0
1.0,0.19706488163062075,17.0,0.0
1.0,0.2178598034890102,11.0,0.0
1.0,0.19945543847085487,9.0,0.0
1.0,0.4706382439012846,13.0,0.0
1.0,0.4181200803111339,17.0,0.0
1.0,0.015001293153892733,11.0,0.0
1.0,0.4153364111616763,14.0,0.0
1.0,0.09315706178791137,17.0,0.0
1.0,0.0004927423800118234,21.0,0.0
1.0,0.41295104835274343,20.0,0.0
1.0,0.3214643342196272,17.0,0.0
1.0,0.0004310474365527793,17.0,0.0
1.0,0.3921015495402102,9.0,0.0
1.0,0.3778197962974011,14.0,0.0
1.0,0.08661869786470668,13.0,0.0
1.0,0.4150815137608878,21.0,0.0
1.0,0.0013011704752415613,16.0,0.0
1.0,0.041421684740131165,11.0,0.0
1.0,0.11424435973018171,14.0,0.0
1.0,0.45928723326654797,8.0,0.0
1.0,0.4424350221910411,15.0,0.0
1.0,0.12044169418015832,17.0,0.0
1.0,0.14935154745017493,18.0,0.0
1.0,0.4105097904851175,8.0,0.0
1.0,0.4294983206591097,19.0,0.0
1.0,0.36052092072505526,10.0,0.0
1.0,0.3205438814385458,10.0,0.0
1.0,0.42576276891316506,12.0,0.0
1.0,0.3928204311280403,8.0,0.0
1.0,0.36426438630895797,13.0,0.0
1.0,0.4102110971076568,10.0,0.0
1.0,0.5307103708937027,13.0,0.0
1.0,0.4189817700077774,11.0,0.0
1.0,0.41546249866387497,10.0,0.0
1.0,0.02225984227457397,15.0,0.0
1.0,0.27119392260502445,19.0,0.0
1.0,0.03462674718693975,7.0,0.0
1.0,0.057146721324168176,9.0,0.0
1.0,0.021747395202097244,20.0,0.0
1.0,0.419571015775055,16.0,0.0
1.0,0.01638811055398252,17.0,0.0
1.0,0.41612019539040185,11.0,0.0
1.0,0.07424294944100898,18.0,0.0
1.0,0.46732641980488143,21.0,0.0
1.0,0.46936950729262183,12.0,0.0
1.0,0.4157817766522491,18.0,0.0
1.0,0.4309019691967867,9.0,0.0
1.0,0.43419890911938475,8.0,0.0
1.0,0.12181765202305789,10.0,0.0
1.0,0.41551717141915206,13.0,0.0
1.0,0.43890907311121585,13.0,0.0
1.0,0.32587561153653805,10.0,0.0
1.0,0.41705147933324754,14.0,0.0
1.0,0.109194049013835,7.0,0.0
1.0,0.04601489772613968,7.0,0.0
